AXI4-Lite SCC Regression
Started: Wed 26 Aug 2026 03:51:42 PM PDT

supported_fields_test_norm5 : PASS
normal_write_test_norm2 : PASS
normal_backpressure_test_norm3 : PASS
normal_read_test_norm1 : PASS
pre_timeout_boundary_test_norm7 : PASS
concurrent_read_write_test_norm6 : PASS
aw_before_w_test_norm4 : PASS
rto5_late_response_drain_test : PASS
rto1_read_response_timeout_test : PASS
rto2_legal_delayed_response_test : PASS
rto4_slverr_stability_test : PASS
rto3_upstream_slverr_test : PASS
wdt1_write_data_timeout_test : PASS
wdt3_delayed_write_data_test : PASS
wdt2_fault_handling_test : PASS
wdt4_final_boundary_test : PASS
wdt5_late_write_data_test : PASS
wdt6_no_downstream_launch_test : PASS
wrt4_late_write_response_test : PASS
wrt1_write_response_timeout_test : PASS
wrt6_write_response_boundary_test : PASS
wrt5_delayed_write_response_test : PASS
wrt3_slverr_backpressure_test : PASS
wrt2_slverr_injection_test : PASS
flt4_sticky_fault_status_test : PASS
flt7_multiple_fault_sources_test : PASS
flt6_enabled_fault_irq_test : PASS
flt1_read_timeout_source_test : PASS
flt3_write_response_timeout_source_test : PASS
flt5_masked_fault_no_irq_test : PASS
flt2_write_data_timeout_source_test : PASS
queue5_write_queue_full_test : PASS
queue6_independent_read_write_occupancy_test : PASS
queue8_head_timeout_with_followers_test : PASS
queue3_read_queue_full_test : PASS
queue4_multiple_outstanding_writes_test : PASS
queue1_multiple_outstanding_reads_test : PASS
queue2_read_ordering_test : PASS
queue7_read_capacity_reuse_test : PASS
rec5_quiescence_enters_recovery_test : PASS
rec1_fault_enters_containment_test : PASS
rec8_post_recovery_transaction_test : PASS
rec4_early_clear_blocked_until_quiescence_test : PASS
rec6_authorized_epoch_clear_test : PASS
rec2_recovery_waits_for_quiescence_test : PASS
rec7_epoch_clear_returns_normal_test : PASS
rec3_status_irq_persist_until_ack_test : PASS
prot1_read_address_backpressure_test : PASS
prot6_downstream_waits_for_write_pair_test : PASS
prot3_write_address_backpressure_test : PASS
prot2_read_response_backpressure_test : PASS
prot5_wready_waits_for_aw_test : PASS
prot4_write_data_backpressure_test : PASS
prot7_write_response_backpressure_test : PASS
recovery_after_wdt_test_cc1 : PASS
recovery_after_wrt_test_cc2 : PASS
masked_wrt_test_cc3 : PASS
simultaneous_enqueue_retire_test_cc4 : PASS
zero_wstrb_test_cc5 : PASS
downstream_slverr_test_cc6 : PASS
downstream_decerr_test_cc7 : PASS
multiple_write_ghost_test_cc9 : PASS

Regression complete
Total : 62
PASS  : 62
FAIL  : 0
Ended : Wed 26 Aug 2026 03:53:29 PM PDT
